college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",,110524210,,Stage-I,PWDR-OBC GOPEN GSC GNTB GNTD GOBC GSEBC LOPEN LSC LST LNTC LOBC EWS,29034,,1,2024
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",,110526510,,Stage-I,GOPEN GOBC LOPEN LSC,29115,,1,2024
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",,110537210,,Stage-I,GOPEN GSC GST GNTC GOBC LOPEN LNTB LOBC LSEBC EWS,26164,,1,2024
1107,"P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",,110761210,,Stage-I,GOPEN GOBC LOPEN LSC LOBC EWS,40415,,1,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",,111419110,,Stage-I,GOPEN GSC GST GNTB GNTC GOBC LOPEN LOBC LSEBC EWS,34010,,1,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",,111437210,,Stage-I,GOPEN GSC GNTC GOBC LOPEN LNTB LOBC EWS,33400,,1,2024
1116,"Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",,111661210,,Stage-I,GOPEN GOBC LOPEN,39293,,1,2024
1117,Janata Shikshan Prasarak Mandal (Un-Aided),,111724210,,Stage-I,GOPEN GSC GNTA GOBC GSEBC LOPEN LSC LOBC,43680,,1,2024
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",,111924610,,Stage-I,GOPEN GSC GOBC LOPEN LSEBC,40270,,1,2024
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",,111950710,,Stage-I,GOPEN GSC GNTA GNTB GOBC LOPEN PWD-O EWS,37031,,1,2024
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",,112324210,,Stage-I,GOPEN GOBC LOPEN LSC LOBC LSEBC EWS,19223,,1,2024
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",,112361210,,Stage-I,GOPEN GSC LOPEN,48532,,1,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",,112529310,,Stage-I,GOPEN GOBC LOPEN LSC LSEBC EWS,32464,,1,2024
