college_code,college_name,institute_type,choice_code,branch,stage,category,rank,percentile,round,academic_year
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati (un-aided Autonomous)",,110524210,,Stage-I,PWDROBCGOPENGSCGNTBGNTDGOBCGSEBCLOPENLSCLSTLNTCLOBCEWS,29034,,1,2024
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati (un-aided Autonomous)",,110526510,,Stage-I,GOPENGOBCLOPENLSC,29115,,1,2024
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati (un-aided Autonomous)",,110537210,,Stage-I,GOPENGSCGSTGNTCGOBCLOPENLNTBLOBCLSEBCEWS,26164,,1,2024
1107,"P. R. Pote (patil) Education & Welfare Trusts Group of Institution(integrated Campus), Amravati (un-aided)",,110761210,,Stage-I,GOPENGOBCLOPENLSCLOBCEWS,40415,,1,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (un-aided)",,111419110,,Stage-I,GOPENGSCGSTGNTBGNTCGOBCLOPENLOBCLSEBCEWS,34010,,1,2024
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (un-aided)",,111437210,,Stage-I,GOPENGSCGNTCGOBCLOPENLNTBLOBCEWS,33400,,1,2024
1116,"Shri Shivaji Education Societys College of Engineering and Technology, Akola (un-aided)",,111661210,,Stage-I,GOPENGOBCLOPEN,39293,,1,2024
1117,Janata Shikshan Prasarak Mandal (un-aided),,111724210,,Stage-I,GOPENGSCGNTAGOBCGSEBCLOPENLSCLOBC,43680,,1,2024
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (un-aided)",,111924610,,Stage-I,GOPENGSCGOBCLOPENLSEBC,40270,,1,2024
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (un-aided)",,111950710,,Stage-I,GOPENGSCGNTAGNTBGOBCLOPENPWDOEWS,37031,,1,2024
1123,"Dr.rajendra Gode Institute of Technology & Research, Amravati (un-aided)",,112324210,,Stage-I,GOPENGOBCLOPENLSCLOBCLSEBCEWS,19223,,1,2024
1123,"Dr.rajendra Gode Institute of Technology & Research, Amravati (un-aided)",,112361210,,Stage-I,GOPENGSCLOPEN,48532,,1,2024
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (un-aided)",,112529310,,Stage-I,GOPENGOBCLOPENLSCLSEBCEWS,32464,,1,2024
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (un-aided)",,112719110,,Stage-I,GOPENGOBCLOPENLSC,43048,,1,2024
